-0.5 -0.5 89.2486
-0.5 -0.4 83.4758
-0.5 -0.3 72.037
-0.5 -0.2 55.9152
-0.5 -0.1 39.5218
-0.5 -2.77556e-17 33.6306
-0.5 0.1 39.5218
-0.5 0.2 55.9154
-0.5 0.3 72.0373
-0.5 0.4 83.4759
-0.5 0.5 89.2486
-0.4 -0.5 88.9865
-0.4 -0.4 83.869
-0.4 -0.3 72.6236
-0.4 -0.2 56.0351
-0.4 -0.1 38.9741
-0.4 -2.77556e-17 33.0682
-0.4 0.1 38.9744
-0.4 0.2 56.0354
-0.4 0.3 72.6238
-0.4 0.4 83.869
-0.4 0.5 88.9865
-0.3 -0.5 88.4668
-0.3 -0.4 84.7046
-0.3 -0.3 73.5313
-0.3 -0.2 56.0593
-0.3 -0.1 37.4244
-0.3 -2.77556e-17 29.7516
-0.3 0.1 37.4248
-0.3 0.2 56.0597
-0.3 0.3 73.5316
-0.3 0.4 84.7046
-0.3 0.5 88.4668
-0.2 -0.5 87.5131
-0.2 -0.4 85.0189
-0.2 -0.3 74.2388
-0.2 -0.2 55.4385
-0.2 -0.1 34.2108
-0.2 -2.77556e-17 22.8294
-0.2 0.1 34.2112
-0.2 0.2 55.4389
-0.2 0.3 74.2392
-0.2 0.4 85.019
-0.2 0.5 87.513
-0.1 -0.5 86.4805
-0.1 -0.4 84.4254
-0.1 -0.3 74.5195
-0.1 -0.2 54.4908
-0.1 -0.1 30.4893
-0.1 -2.77556e-17 12.9339
-0.1 0.1 30.4897
-0.1 0.2 54.4911
-0.1 0.3 74.5199
-0.1 0.4 84.4255
-0.1 0.5 86.4804
-2.77556e-17 -0.5 86.2301
-2.77556e-17 -0.4 84.198
-2.77556e-17 -0.3 74.5449
-2.77556e-17 -0.2 53.9769
-2.77556e-17 -0.1 28.8435
-2.77556e-17 -2.77556e-17 0.00036815
-2.77556e-17 0.1 28.8438
-2.77556e-17 0.2 53.9771
-2.77556e-17 0.3 74.5452
-2.77556e-17 0.4 84.1981
-2.77556e-17 0.5 86.2299
0.1 -0.5 86.4804
0.1 -0.4 84.4254
0.1 -0.3 74.5197
0.1 -0.2 54.4909
0.1 -0.1 30.4894
0.1 -2.77556e-17 12.934
0.1 0.1 30.4895
0.1 0.2 54.491
0.1 0.3 74.5198
0.1 0.4 84.4255
0.1 0.5 86.4803
0.2 -0.5 87.5129
0.2 -0.4 85.0187
0.2 -0.3 74.239
0.2 -0.2 55.4387
0.2 -0.1 34.2111
0.2 -2.77556e-17 22.8294
0.2 0.1 34.2109
0.2 0.2 55.4387
0.2 0.3 74.2391
0.2 0.4 85.0189
0.2 0.5 87.5128
0.3 -0.5 88.4667
0.3 -0.4 84.7044
0.3 -0.3 73.5314
0.3 -0.2 56.0595
0.3 -0.1 37.4246
0.3 -2.77556e-17 29.7515
0.3 0.1 37.4244
0.3 0.2 56.0595
0.3 0.3 73.5315
0.3 0.4 84.7045
0.3 0.5 88.4666
0.4 -0.5 88.9864
0.4 -0.4 83.8688
0.4 -0.3 72.6236
0.4 -0.2 56.0352
0.4 -0.1 38.9742
0.4 -2.77556e-17 33.068
0.4 0.1 38.9741
0.4 0.2 56.0353
0.4 0.3 72.6237
0.4 0.4 83.869
0.4 0.5 88.9863
0.5 -0.5 89.2485
0.5 -0.4 83.4756
0.5 -0.3 72.0369
0.5 -0.2 55.9152
0.5 -0.1 39.5217
0.5 -2.77556e-17 33.6305
0.5 0.1 39.5218
0.5 0.2 55.9154
0.5 0.3 72.0372
0.5 0.4 83.4757
0.5 0.5 89.2485
